Nom,Cognoms,DNI,País d'origen,Ciutat,Dia de Naixement,Mes de Naixement,Any de Naixement,Gènere,Salari mensual,Grup Professional,Càrrec,Nombre_fills,Te_cotxe,Km_anuals,Consum_mitja_L_100km,Temperatura_mitjana_ciutat,Cost_vida_index,Transport_public_score,Clima_tipus,cost_vida_categoria,transport_categoria,franja_edat,te_fills,increment_percent,salari_ajustat,index_dependencia_familiar,ratio_salari_cost_vida,etapa_vital,Edat
Alexia,Roca Soler,93366885F,Espanya,Murcia,20.0,11.0,1973.0,Dona,2025.0,Grup C,Analista,0.0,,,,16.9,60.0,6.5,Mediterrani,low,low,45-59,False,4.5,2116.12,2025.0,35.27,1,53.0
Simone,Esposito Greco,63031203K,Itàlia,Firenze,13.0,8.0,1976.0,Home,2266.0,Grup C,Analista,1.0,,,,16.3,77.0,7.1,Continental,high,medium,45-59,True,7.5,2435.95,1133.0,31.64,1,50.0
Guillem,Ferrer Torres,84044139A,Espanya,València,16.0,5.0,1980.0,Home,2028.0,Grup C,Analista,1.0,,,,17.448148148148146,70.0,7.5,Mediterrani,medium,medium,45-59,True,6.5,2159.82,1014.0,30.85,1,46.0
Claudia,Ramos Muñoz,92414513K,Espanya,Palma,28.0,4.0,2000.0,Home,2140.0,Grup C,Analista,0.0,False,,,23.3,73.0,7.2,Mediterrani,medium,medium,18-29,False,3.0,2204.2,2140.0,30.19,0,26.0
Pol,Sánchez,96873663J,Espanya,Màlaga,6.0,10.0,1971.0,Home,2405.0,Grup C,Analista,0.0,True,80000.0,0.5,18.3,68.5,7.209797297297297,,medium,medium,45-59,False,5.0,2525.25,2405.0,36.86,1,55.0
Anna,Ferrer,91406527S,Espanya,Barcelona,15.0,4.0,1963.0,Home,2600.0,Grup C,Responsable de vendes,0.0,,,,18.2,78.0,8.5,Mediterrani,high,high,60+,False,5.0,2730.0,2600.0,35.0,1,63.0
Xavier,Navarro,24572034T,Espanya,Màlaga,5.0,7.0,1982.0,Dona,2902.0,Grup C,Analista senior,1.0,,,,24.1,68.5,7.209797297297297,,medium,medium,30-44,True,5.5,3061.61,1451.0,44.7,1,44.0
David,Ferrer,71568435E,Espanya,València,12.0,10.0,1998.0,Dona,2039.0,Grup C,Tècnic IT,0.0,,,,18.2,70.0,7.5,Mediterrani,medium,medium,18-29,False,3.0,2100.17,2039.0,30.0,0,28.0
Jordi,Ramos Ribera,52265790T,Espanya,A Coruña,7.0,4.0,1977.0,Home,2965.0,Grup C,Cap de projecte,0.0,False,,,18.0,69.0,7.1,Oceànic,medium,medium,45-59,False,5.0,3113.25,2965.0,45.12,1,49.0
Nil,Casals Pérez,13031322X,Espanya,Tarragona,24.0,10.0,1988.0,Dona,2073.0,Grup C,Cap de projecte,0.0,False,,,12.6,67.0,6.9,Mediterrani,low,low,30-44,False,3.5,2145.55,2073.0,32.02,1,38.0
Marina,Soler Muñoz,50912093M,Espanya,Barcelona,20.0,6.0,1978.0,Dona,2209.0,Grup C,Administratiu/va,2.0,False,,,14.6,78.0,8.5,Mediterrani,high,high,45-59,True,7.0,2363.63,736.33,30.3,1,48.0
Mia,Braun,94374018V,Alemanya,Leipzig,20.0,5.0,1993.0,Home,2382.0,Grup C,Analista senior,1.0,,,,12.5,70.0,7.2,Continental,medium,medium,30-44,True,5.5,2513.01,1191.0,35.9,1,33.0
Marina,Romero,89855385H,Espanya,Barcelona,22.0,10.0,1976.0,Dona,2803.0,Grup C,Analista,3.0,False,,,18.6,78.0,8.5,Mediterrani,high,high,45-59,True,7.0,2999.21,700.75,38.45,2,50.0
Jordi,Moreno,62286700M,Espanya,Murcia,20.0,10.0,1968.0,Home,2516.0,Grup C,Analista junior,1.0,True,80000.0,13.8,20.0,60.0,6.5,Mediterrani,low,low,45-59,True,6.0,2666.96,1258.0,44.45,1,58.0
Núria,,40037183G,Espanya,Madrid,8.0,8.0,1987.0,Home,2708.0,Grup C,Cap de projecte,0.0,True,6283.0,11.6,12.3,75.0,8.0,Continental,high,high,30-44,False,4.5,2829.86,2708.0,37.73,1,39.0
Guillem,Soler Roca,17083242X,Espanya,Girona,20.0,5.0,1995.0,Home,2309.0,Grup C,Analista,3.0,False,,,16.1,66.0,6.8,Mediterrani,low,low,30-44,True,5.0,2424.45,577.25,36.73,2,31.0
,Vidal Roca,98089763D,Espanya,Girona,2.0,10.0,1968.0,Home,1771.0,Grup C,Analista,0.0,,,,15.2,66.0,6.8,Mediterrani,low,low,45-59,False,4.5,1850.7,1771.0,28.04,1,58.0
Matteo,Giordano Lombardi,24260594Z,Itàlia,Genova,21.0,10.0,1971.0,Home,2381.0,Grup C,Cap de projecte,0.0,True,50000.0,0.5,15.9,72.0,6.9,Mediterrani,medium,low,45-59,False,5.5,2511.96,2381.0,34.89,1,55.0
Nora,Lie Moen,70655417L,Noruega,Bergen,12.0,4.0,2002.0,Dona,2603.0,Grup C,Responsable de vendes,0.0,False,,,42.0,85.0,8.8,Oceànic,high,high,18-29,False,3.5,2694.1,2603.0,31.7,0,24.0
Nora,Pettersen,86003182L,Noruega,Trondheim,29.0,3.0,1965.0,Dona,2626.0,Grup C,Tècnic IT,0.0,True,30452.0,0.5,2.4,87.95454545454545,9.036363636363637,,high,high,60+,False,5.0,2757.3,2626.0,31.35,1,61.0
Thomas,Lefebvre Moreau,85300576W,França,Lille,28.0,8.0,1977.0,Prefereix no contestar,1777.14,Grup C,Analista senior,4.0,False,,,12.9,71.0,7.3,Continental,medium,medium,45-59,True,6.5,1892.65,355.43,26.66,2,49.0
Sergio,López,64956876C,Espanya,Las Palmas de Gran Canaria,1.0,2.0,1982.0,Home,3001.0,Grup C,Cap de projecte,0.0,False,,,24.4,62.0,6.8,Subtropical,low,low,30-44,False,3.5,3106.04,3001.0,50.1,1,44.0
Marina,Pujol Torres,76826878S,Espanya,A Coruña,22.0,5.0,1970.0,Prefereix no contestar,2943.0,Grup C,Cap de projecte,0.0,True,80000.0,8.7,13.9,69.0,7.1,Oceànic,medium,medium,45-59,False,5.0,3090.15,2943.0,44.78,1,56.0
David,Moreno Soler,66528833P,Espanya,Barcelona,29.0,9.0,1994.0,Prefereix no contestar,1517.31,Grup C,Analista,0.0,False,,,18.5,78.0,8.5,Mediterrani,high,high,30-44,False,4.5,1585.59,1517.31,20.33,1,32.0
David,Muñoz,43064092P,Espanya,Palma,16.0,7.0,1992.0,Dona,2711.0,Grup C,Analista,,,,,19.6,73.0,7.2,Mediterrani,medium,medium,30-44,False,4.0,2819.44,,38.62,1,34.0
Ole,Johansen,47302753Y,Noruega,Oslo,26.0,4.0,1991.0,Dona,2534.0,Grup C,Cap de projecte,0.0,False,,,9.0,90.0,9.2,Fred,high,high,30-44,False,4.5,2648.03,2534.0,29.42,1,35.0
Adrià,Casals,89593852X,Espanya,Valladolid,6.0,5.0,1966.0,Home,2675.0,Grup C,Cap de projecte,1.0,True,30000.0,12.7,8.9,64.0,6.7,Continental,low,low,60+,True,5.5,2822.12,1337.5,44.1,1,60.0
Thea,Kristiansen,90402724B,Noruega,Stavanger,31.0,10.0,2004.0,Dona,3061.0,Grup C,Analista senior,,True,,,7.657142857142857,87.95454545454545,9.036363636363637,,high,high,18-29,False,3.5,3168.14,,36.02,1,22.0
Sergio,Ferrer,98237348C,Espanya,València,28.0,9.0,1967.0,Home,1983.0,Grup C,Responsable de vendes,0.0,False,,,18.7,70.0,7.5,Mediterrani,medium,medium,45-59,False,5.0,2082.15,1983.0,29.74,1,59.0
Guillem,Ferrer,63015631D,Espanya,Murcia,12.0,10.0,1997.0,Home,1880.0,Grup C,Analista junior,0.0,True,54025.0,25.0,20.3,60.0,6.5,Mediterrani,low,low,18-29,False,2.5,1927.0,1880.0,32.12,0,29.0
Laia,Torres Ramos,75485030F,Espanya,Bilbao,29.0,11.0,1997.0,Dona,2177.0,Grup C,Analista,4.0,True,80000.0,11.5,15.6,72.0,7.8,Oceànic,medium,high,18-29,True,4.0,2264.08,435.4,31.45,2,29.0
Alba,Hernández,69886480C,Espanya,Barcelona,13.0,12.0,1967.0,Dona,3041.0,Grup C,Analista senior,0.0,False,,,17.0,78.0,8.5,Mediterrani,high,high,45-59,False,5.5,3208.25,3041.0,41.13,1,59.0
Anna,,56794869W,Espanya,Bilbao,18.0,2.0,1958.0,Prefereix no contestar,2285.0,Grup C,Analista,0.0,,,,14.9,72.0,7.8,Oceànic,medium,high,60+,False,4.0,2376.4,2285.0,33.01,1,68.0
Marie,Moreau,93041052V,França,Paris,7.0,2.0,1993.0,Dona,2180.0,Grup C,Analista,0.0,,,,14.0,85.0,9.0,Oceànic,high,high,30-44,False,4.5,2278.1,2180.0,26.8,1,33.0
Marco,Barbieri,38122043N,Itàlia,Milano,24.0,5.0,1967.0,Home,2795.0,Grup C,Cap de projecte,0.0,,,,13.2,80.0,7.5,Continental,high,medium,45-59,False,6.0,2962.7,2795.0,37.03,1,59.0
Marta,Gómez,70486666H,Espanya,València,4.0,9.0,1969.0,Home,3186.0,Grup C,Analista senior,4.0,,,,16.8,70.0,7.5,Mediterrani,medium,medium,45-59,True,6.5,3393.09,637.2,48.47,2,57.0
Ole,Larsen,40728728N,Noruega,Oslo,3.0,8.0,1966.0,Dona,1732.0,Grup C,Analista junior,0.0,True,11362.0,,9.5,90.0,9.2,Fred,high,high,60+,False,5.0,1818.6,1732.0,20.21,1,60.0
Irene,Ruiz Sánchez,51144384H,Espanya,Madrid,17.0,3.0,1965.0,Home,2828.0,Grup C,Responsable de vendes,0.0,True,86060.0,25.0,15.0,75.0,8.0,Continental,high,high,60+,False,5.0,2969.4,2828.0,39.59,1,61.0
Marta,,98084362Z,Espanya,Zaragoza,15.0,2.0,1975.0,Home,2368.0,Grup C,Analista,0.0,False,,,12.0,68.0,7.0,Continental,low,low,45-59,False,4.5,2474.56,2368.0,36.39,1,51.0
David,Serra Gil,49827566A,Espanya,Barcelona,18.0,2.0,1960.0,Home,1947.0,Grup C,Tècnic IT,3.0,,,,14.6,78.0,8.5,Mediterrani,high,high,60+,True,6.5,2073.55,486.75,26.58,2,66.0
Luca,Bianchi Rossi,24228398K,Itàlia,Napoli,2.0,6.0,1985.0,Dona,2245.0,Grup C,Analista junior,1.0,True,54623.0,25.0,16.6,65.0,6.5,Mediterrani,low,low,30-44,True,5.0,2357.25,1122.5,36.27,1,41.0
Sarah,Garcia,18053170C,França,Lille,5.0,2.0,1976.0,Dona,1906.0,Grup C,Analista,4.0,False,,,12.1,71.0,7.3,Continental,medium,medium,45-59,True,6.5,2029.89,381.2,28.59,2,50.0
Erik,Pettersen,81770706L,Noruega,Bergen,9.0,11.0,1982.0,Dona,1820.0,Grup C,Analista,0.0,False,,,5.5,85.0,8.8,Oceànic,high,high,30-44,False,4.5,1901.9,1820.0,22.38,1,44.0
Alba,Ribera,65640853R,Espanya,Bilbao,29.0,1.0,1973.0,Home,2387.0,Grup C,Analista,1.0,True,80000.0,25.0,10.3,72.0,7.8,Oceànic,medium,high,45-59,True,6.0,2530.22,1193.5,35.14,1,53.0
,Puig,61550809J,Espanya,Tarragona,29.0,12.0,1969.0,Home,1781.0,Grup C,Analista junior,3.0,True,13407.0,25.0,17.5,67.0,6.9,Mediterrani,low,low,45-59,True,6.0,1887.86,445.25,28.18,2,57.0
Paul,Garcia Vincent,61176016Z,França,Bordeaux,31.0,3.0,1974.0,Home,2690.0,Grup C,Analista senior,2.0,False,,,13.9,73.0,7.2,Oceànic,medium,medium,45-59,True,6.5,2864.85,896.67,39.24,1,52.0
Xavier,Ramos Ribera,97161631Z,Espanya,Murcia,22.0,6.0,1995.0,Dona,2134.0,Grup C,Tècnic IT,1.0,False,,,22.0,60.0,6.5,Mediterrani,low,low,30-44,True,5.0,2240.7,1067.0,37.34,1,31.0
Xavier,,38277083J,Espanya,Murcia,2.0,3.0,1969.0,Dona,2952.0,Grup C,Cap de projecte,1.0,False,,,19.111904761904764,60.0,6.5,Mediterrani,low,low,45-59,True,6.0,3129.12,1476.0,52.15,1,57.0
Chiara,Colombo Ferrari,11318177X,Itàlia,Venezia,3.0,9.0,1969.0,Home,1939.0,Grup C,Tècnic IT,1.0,False,,,14.6,79.0,7.0,Mediterrani,high,low,45-59,True,8.0,2094.12,969.5,26.51,1,57.0
Clara,Laurent Martin,10753570H,França,Toulouse,7.0,9.0,1981.0,Home,2696.0,Grup C,Cap de projecte,3.0,False,,,11.7,74.36363636363636,7.615909090909091,,high,high,45-59,True,7.0,2884.72,674.0,38.79,2,45.0
David,,86680371W,Espanya,Sevilla,28.0,11.0,1960.0,Dona,2218.0,Grup C,Responsable de vendes,0.0,False,,,16.2,65.0,7.0,Mediterrani,low,low,60+,False,4.0,2306.72,2218.0,35.49,1,66.0
Adrià,Soler Puig,23035991X,Espanya,Màlaga,9.0,4.0,1988.0,Dona,2446.0,Grup C,Analista junior,0.0,False,,,14.7,68.5,7.209797297297297,,medium,medium,30-44,False,4.0,2543.84,2446.0,37.14,1,38.0
Martina,Mancini,74864697Q,Itàlia,Roma,17.0,6.0,1969.0,Dona,2529.0,Grup C,Cap de projecte,3.0,,,,15.4,78.0,7.6,Mediterrani,high,high,45-59,True,7.0,2706.03,632.25,34.69,2,57.0
Elena,Greco Ferrari,46871774C,Itàlia,Milano,1.0,8.0,1982.0,Home,1984.0,Grup C,Administratiu/va,0.0,True,113145.0,,12.8,80.0,7.5,Continental,high,medium,30-44,False,5.0,2083.2,1984.0,26.04,1,44.0
Jordi,,49755786V,Espanya,Màlaga,18.0,11.0,2002.0,Home,2693.0,Grup C,Analista,1.0,,,,21.1,68.5,7.209797297297297,,medium,medium,18-29,True,4.5,2814.18,1346.5,41.08,1,24.0
Paolo,Gallo De Luca,21034254X,Itàlia,Firenze,19.0,10.0,1976.0,Home,2254.0,Grup C,Analista senior,0.0,True,67158.0,13.2,14.1,77.0,7.1,Continental,high,medium,45-59,False,6.0,2389.24,2254.0,31.03,1,50.0
Adrià,López,97278778R,Espanya,A Coruña,18.0,8.0,1993.0,Dona,2356.0,Grup C,Administratiu/va,3.0,,,,12.5,69.0,7.1,Oceànic,medium,medium,30-44,True,5.5,2485.58,589.0,36.02,2,33.0
Marta,Sánchez Ramos,13711597H,Espanya,Valladolid,10.0,7.0,1978.0,Prefereix no contestar,1844.0,Grup C,Administratiu/va,0.0,True,80000.0,13.5,10.8,64.0,6.7,Continental,low,low,45-59,False,4.5,1926.98,1844.0,30.11,1,48.0
,Ribera,44426734K,Espanya,Madrid,6.0,6.0,1992.0,Home,2268.0,Grup C,Tècnic IT,1.0,True,20000.0,5.1,16.8,75.0,8.0,Continental,high,high,30-44,True,6.0,2404.08,1134.0,32.05,1,34.0
Marta,Roca,58336521F,Espanya,Bilbao,18.0,8.0,1967.0,Prefereix no contestar,2706.0,Grup C,Analista,3.0,False,,,12.9,72.0,7.8,Oceànic,medium,high,45-59,True,6.0,2868.36,676.5,39.84,2,59.0
Alessia,Gallo,55919735G,Itàlia,Genova,23.0,7.0,1985.0,Dona,2212.0,Grup C,Administratiu/va,4.0,True,22880.0,4.1,15.9,72.0,6.9,Mediterrani,medium,low,30-44,True,6.0,2344.72,442.4,32.57,2,41.0
Pol,Torres Vila,24228623W,Espanya,A Coruña,12.0,1.0,2000.0,Home,2362.0,Grup C,Administratiu/va,0.0,False,,,-5.0,69.0,7.1,Oceànic,medium,medium,18-29,False,3.0,2432.86,2362.0,35.26,0,26.0
Jade,Lefebvre,71195665P,França,Marseille,9.0,2.0,1978.0,Home,2817.0,Grup C,Analista senior,1.0,False,,,13.6,72.0,7.4,Mediterrani,medium,medium,45-59,True,6.5,3000.1,1408.5,41.67,1,48.0
Ole,Berg,65426729X,Noruega,Stavanger,16.0,8.0,1963.0,Home,2019.0,Grup C,Tècnic IT,0.0,,,,9.9,87.95454545454545,9.036363636363637,,high,high,60+,False,5.0,2119.95,2019.0,24.1,1,63.0
Noa,Costa,48547666Z,Espanya,València,1.0,3.0,1982.0,Dona,2392.0,Grup C,Responsable de vendes,1.0,,,,17.448148148148146,70.0,7.5,Mediterrani,medium,medium,30-44,True,5.5,2523.56,1196.0,36.05,1,44.0
Carmen,,89650979N,Espanya,Murcia,11.0,10.0,1968.0,Home,2425.0,Grup C,Analista junior,0.0,,,,21.1,60.0,6.5,Mediterrani,low,low,45-59,False,4.5,2534.12,2425.0,42.24,1,58.0
Adrià,Casals,38259178F,Espanya,Zaragoza,11.0,11.0,1977.0,Home,1923.0,Grup C,Responsable de vendes,0.0,False,,,15.5,68.0,7.0,Continental,low,low,45-59,False,4.5,2009.54,1923.0,29.55,1,49.0
Alexia,,49529438G,Espanya,Màlaga,12.0,10.0,1981.0,Dona,1663.0,Grup C,Cap de projecte,0.0,True,80000.0,10.7,16.9,68.5,7.209797297297297,,medium,medium,45-59,False,5.0,1746.15,1663.0,25.49,1,45.0
Alba,Sánchez,73542673S,Espanya,València,5.0,10.0,1965.0,Home,2401.0,Grup C,Administratiu/va,0.0,True,74348.0,13.2,18.0,70.0,7.5,Mediterrani,medium,medium,60+,False,4.5,2509.04,2401.0,35.84,1,61.0
Clara,Martin Thomas,42788611K,França,Bordeaux,26.0,5.0,1976.0,Dona,2406.0,Grup C,Analista,1.0,False,,,15.2,73.0,7.2,Oceànic,medium,medium,45-59,True,6.5,2562.39,1203.0,35.1,1,50.0
Adrià,Vila Navarro,83627558Z,Espanya,Sevilla,22.0,2.0,1962.0,Home,2211.0,Grup C,Analista,1.0,False,,,38.0,65.0,7.0,Mediterrani,low,low,60+,True,5.5,2332.6,1105.5,35.89,1,64.0
Aina,Costa Ferrer,49665931N,Espanya,Màlaga,13.0,4.0,1959.0,Home,2569.0,Grup C,Responsable de vendes,1.0,,,,21.6,68.5,7.209797297297297,,medium,medium,60+,True,6.0,2723.14,1284.5,39.75,1,67.0
,Soler Vila,13667070K,Espanya,Palma,25.0,1.0,1960.0,Dona,2343.0,Grup C,Analista,0.0,,,,17.7,73.0,7.2,Mediterrani,medium,medium,60+,False,4.5,2448.44,2343.0,33.54,1,66.0
Guillem,Muñoz,59424714H,Espanya,Madrid,17.0,1.0,1996.0,Dona,2037.0,Grup C,Analista junior,4.0,,,,17.0,75.0,8.0,Continental,high,high,30-44,True,6.0,2159.22,407.4,28.79,2,30.0
Elias,Hagen,81192277J,Noruega,Bergen,11.0,2.0,1966.0,Home,1944.0,Grup C,Analista,0.0,False,,,-5.0,85.0,8.8,Oceànic,high,high,60+,False,5.0,2041.2,1944.0,24.01,1,60.0
Sergio,Pérez,35553337Y,Espanya,Valladolid,4.0,7.0,1980.0,Home,2574.0,Grup C,Responsable de vendes,0.0,True,0.0,,10.8,64.0,6.7,Continental,low,low,45-59,False,4.5,2689.83,2574.0,42.03,1,46.0
Federico,Lombardi Romano,31369764W,Itàlia,Roma,11.0,6.0,1998.0,Home,2726.0,Grup C,Tècnic IT,4.0,,,,16.2,78.0,7.6,Mediterrani,high,high,18-29,True,5.0,2862.3,545.2,36.7,2,28.0
Sara,López,32355818X,Espanya,Murcia,8.0,3.0,1993.0,Dona,1997.0,Grup C,Administratiu/va,0.0,False,,,17.3,60.0,6.5,Mediterrani,low,low,30-44,False,3.5,2066.9,1997.0,34.45,1,33.0
Ilaria,Rossi Ferrari,91947761L,Itàlia,Bologna,9.0,1.0,1969.0,Home,2131.0,Grup C,Analista,0.0,,,,38.0,74.32967032967034,7.1098901098901095,,high,medium,45-59,False,6.0,2258.86,2131.0,30.39,1,57.0
Pol,Serra,86297749A,Espanya,Sevilla,19.0,5.0,1996.0,Home,2124.0,Grup C,Responsable de vendes,4.0,,,,19.3,65.0,7.0,Mediterrani,low,low,30-44,True,5.0,2230.2,424.8,34.31,2,30.0
Claudia,Navarro,65128847R,Espanya,Barcelona,3.0,2.0,1968.0,Dona,2561.0,Grup C,Analista,0.0,,,,-10.0,78.0,8.5,Mediterrani,high,high,45-59,False,5.5,2701.86,2561.0,34.64,1,58.0
Marc,López Costa,11828041P,Espanya,Sevilla,30.0,8.0,1980.0,Home,2406.0,Grup C,Responsable de vendes,,,,,16.5,65.0,7.0,Mediterrani,low,low,45-59,False,4.5,2514.27,,38.68,1,46.0
Manon,Martin,94699404Q,França,Toulouse,15.0,6.0,2002.0,Home,2234.0,Grup C,Analista,1.0,True,80000.0,5.8,13.8,74.36363636363636,7.615909090909091,,high,high,18-29,True,5.0,2345.7,1117.0,31.54,1,24.0
Hugo,Leroy,62275935V,França,Marseille,3.0,7.0,1966.0,Home,1804.0,Grup C,Analista,0.0,,,,18.4,72.0,7.4,Mediterrani,medium,medium,60+,False,4.5,1885.18,1804.0,26.18,1,60.0
,López Puig,75610054T,Espanya,Valladolid,19.0,9.0,1965.0,Home,2133.0,Grup C,Administratiu/va,0.0,False,,,12.2,64.0,6.7,Continental,low,low,60+,False,4.0,2218.32,2133.0,34.66,1,61.0
Núria,Serra,84626797Q,Espanya,Girona,13.0,2.0,2002.0,Home,2637.0,Grup C,Analista,1.0,,,,13.6,66.0,6.8,Mediterrani,low,low,18-29,True,4.0,2742.48,1318.5,41.55,1,24.0
Élise,Robert,54519864D,França,Lille,9.0,9.0,1969.0,Home,2225.0,Grup C,Analista,0.0,True,80000.0,12.4,12.0,71.0,7.3,Continental,medium,medium,45-59,False,5.0,2336.25,2225.0,32.9,1,57.0
